ID_sequencing,Spatial,Elevation,MAT,TSEA,MAP,PSEA,Plant_cover,Forest,Grassland,Clay_silt,pH,Soil_C,All_potential_pathogens,Alternaria,Fusarium,Venturia,Phoma,Phaeosphaeriaceae,Cladosporium,Coniochaetaceae,Acremonium,Knufia,Chalara,Mycosphaerellaceae,Didymosphaeriaceae,Teratosphaeriaceae,Coniochaeta,Devriesia,Didymellaceae,Pleosporaceae,Clonostachys,Didymosphaeria,Acrophialophora,Xylariaceae,Bipolaris
109.000,43.088,124.000,16.700,5600.000,421.000,17.000,2347.120,1.000,0.000,23.610,5.850,10.418,11.833,0.526,0.121,4.630,2.505,0.121,0.289,0.164,0.026,0.000,0.000,0.004,0.013,0.569,0.160,0.022,0.013,0.034,0.000,0.121,0.160,0.000,0.009
110.000,44.160,130.000,15.700,5364.000,520.000,16.000,2697.150,1.000,0.000,20.612,7.050,7.137,7.138,0.075,0.205,1.261,1.398,0.000,0.034,0.409,0.020,0.000,0.055,0.095,0.055,0.020,0.348,0.280,0.061,0.157,0.007,0.014,0.007,0.014,0.000
111.000,44.177,131.000,15.700,5371.000,521.000,17.000,2921.200,1.000,0.000,22.381,5.580,8.583,26.888,0.198,0.122,1.966,0.015,0.000,0.875,0.255,0.004,0.000,0.639,0.091,0.027,0.000,0.042,0.038,0.114,0.856,0.034,0.019,0.057,0.042,0.042
112.000,44.172,125.000,15.800,5298.000,512.000,16.000,2884.330,1.000,0.000,24.476,6.480,6.091,22.232,0.376,0.672,1.157,0.068,0.000,0.803,0.581,0.114,0.000,1.242,0.057,0.530,0.074,0.644,0.165,0.114,2.872,0.040,0.085,0.108,0.006,0.000
113.000,44.146,128.000,15.800,5307.000,510.000,17.000,3026.080,1.000,0.000,31.670,5.150,6.436,15.228,0.118,0.019,0.656,0.113,0.005,0.335,0.330,0.024,0.000,3.484,0.047,0.071,0.175,0.146,0.137,0.123,0.633,0.071,0.038,0.057,0.019,0.000
114.000,44.112,128.000,15.800,5330.000,504.000,17.000,3163.020,1.000,0.000,20.620,5.310,8.661,8.698,0.162,0.134,0.170,0.099,0.008,0.273,0.716,0.146,0.008,0.142,0.047,0.083,0.016,0.000,0.115,0.012,0.787,0.024,0.059,0.079,0.059,0.000
115.000,44.095,126.000,15.900,5332.000,498.000,17.000,2834.070,1.000,0.000,23.303,5.580,6.280,17.291,0.325,0.472,0.382,0.022,0.000,1.057,1.147,0.202,0.000,0.222,0.639,0.157,0.112,0.276,0.032,3.008,1.301,0.350,0.100,0.035,0.006,0.000
116.000,43.727,90.000,16.400,5263.000,396.000,16.000,2328.090,1.000,0.000,33.464,6.770,4.234,20.236,0.177,0.060,9.838,1.586,0.026,0.026,0.804,0.004,0.000,0.000,0.000,0.045,0.259,0.116,0.075,0.011,0.368,0.000,0.098,0.015,0.068,0.000
117.000,43.723,88.000,16.300,5246.000,400.000,16.000,2084.080,1.000,0.000,33.429,5.360,5.580,7.559,0.251,0.056,2.605,0.614,0.004,0.195,0.130,0.013,0.000,0.000,0.000,0.013,0.048,0.701,0.164,0.069,0.004,0.013,0.035,0.017,0.000,0.004
118.000,43.709,86.000,16.400,5243.000,396.000,16.000,2099.280,1.000,0.000,31.274,7.050,6.670,13.620,1.255,0.544,5.832,0.962,0.019,0.051,1.245,0.261,0.000,0.000,0.010,0.196,0.212,0.039,0.351,1.026,0.142,0.013,0.228,0.061,0.035,0.000
